Mod,Category,Status,Server_Status,Client_Package,Files,Last_Tested,URL,Notes
"MOA DECOR: BATH","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/moa-decor-bath/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"More Azaleas","World Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/texture-packs/more-azaleas/files/all?page=1&pageSize=20,"CurseForge API returned no stable 26.1.x-compatible resource pack file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"More Cat Variants","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/morecatvariants/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"More Fungi","World Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/texture-packs/more-fungi/files/all?page=1&pageSize=20,"CurseForge API returned no stable 26.1.x-compatible resource pack file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"More Mobs","World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/data-packs/more-mobs/files/all?page=1&pageSize=20,"CurseForge API returned no stable datapack/files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"More Pots+","World Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/texture-packs/more-pots/files/all?page=1&pageSize=20,"CurseForge API returned no stable 26.1.x-compatible resource pack file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"more ships","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/more-ships/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"more underground structures","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/more-underground-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Natural Decor Mod","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/natural-decor-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Nebulus' Cherryblossom Tree","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/nebulus-cherryblossom-tree/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Night Lights","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/nightlights/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Nosiphus Furniture Mod","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/nosiphus-furniture-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Ocean's Delight","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/oceans-delight/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Old Fallen Castle - Medieval Castle","Test New Mods",skipped,"Skipped: not a server mod","Not included",,2026-06-03,https://www.curseforge.com/minecraft/worlds/old-fallen-castle/files/all?page=1&pageSize=20,"The URL points to a CurseForge world/map project, not a mod jar. Per instructions, skipped non-mod tracker rows."
"Otaku World","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/otaku-world/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Plain Cars Pack","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/plain-cars-pack/files/all?page=1&pageSize=20&gameVersionTypeId=1,"CurseForge API returned a stable 26.1.x Fabric file, but no stable NeoForge file for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Prehistoric Fauna","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/prehistoric-fauna/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Pyrotechnic Elytra","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/pyrotechnic-elytra/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned stable NeoForge files for Minecraft 1.21.10 only, not Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Rats,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/rats/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Redden's Stone Lanterns","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/reddens-stone-lanterns/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Regions Unexplored","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/regions-unexplored/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Regrowth,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/regrowth/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Repurposed Structures - PneumaticCraft: Repressurized Compat Mod","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/repurposed-structures-pneumaticcraft-repressurized-compat-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,"This row is the PneumaticCraft compat add-on and remains skipped. Requested base Repurposed Structures on 2026-06-03 is a distinct mod and was appended as a new OK row."
"Rev's Better Structures","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/rbs/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Roamers,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/roamers/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Roost Ultimate","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/roost-ultimate/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned only a 26.1-snapshot NeoForge file, not a stable Minecraft 26.1.2 or 26.1 release. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Rotten Creatures","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/rotten-creatures/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Rubber Duck","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/rubber-duck/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Ruined Brick Cities","Test New Mods",skipped,OK,"Not included",brick_cities-1.5.1-datapack-26.1.zip,2026-06-03,https://www.curseforge.com/minecraft/data-packs/ruined-brick-cities/files/all?page=1&pageSize=20,"Installed as a server datapack under server-datapacks and mirrored to world/datapacks when the real world folder exists. Boot test row240_ruined_brick_cities_datapack reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Datapack is server-side, so not added to client-package/mods."
"Ruined Lighthouse","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ruined-lighthouse/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Sawmill House","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/sawmill-house/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Scorched,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://modrinth.com/datapack/scorched/versions?l=neoforge,"Modrinth API returned no release versions for loaders=neoforge and Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Sengoku Jidai: Japanese Overworld.","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/data-packs/sengoku-japanese-overworld/files/all?page=1&pageSize=20,"CurseForge API returned no stable datapack files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Silence's Turrets","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/silences-defense-tower/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Simple Planes","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/simple-planes/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Simply Light","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/simply-light/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Sky Villages","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/sky-villages-forge/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Sleep Tight","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/sleep-tight/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Small horse stable","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/small-horse-stable/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Smarter Farmers (farmers replant)","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/smarter-farmers-farmers-replant/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Snuffles,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/snuffles/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Solar Flux Reborn","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/solar-flux-reborn/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Spawn Animations","Test New Mods",skipped,OK,"Not included",spawnanimations-v1.11.4-bump-mc1.17-26.1.x-mod.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/spawn-animations-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row260_spawn_animations reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines plus non-fatal Lithostitched warnings. CurseForge tags the file as Server and metadata uses displayTest=IGNORE_SERVER_VERSION, so left it server-only and did not copy it to the client package."
"Spooky Doors","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/spooky-doors/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Spring Flowers","World Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/texture-packs/spring-flowers/files/all?page=1&pageSize=20,"CurseForge API returned no stable 26.1.x-compatible resource pack file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Stylecolonies,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/stylecolonies/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"SuperMartijn642's Core Lib","World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-core-lib/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Supplementaries,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/supplementaries/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Swashbucklers!,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/swashbucklers/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Sweety's Garden","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/sweety-garden/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Tax' Dragon Legend","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/taxdragonlegend/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Tax' Ocean Pillager","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/taxoceanpillager/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Tax' Ocean Villager","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/taxoceanvillager/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"TFC Grooming Station","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/tfc-grooming-station/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"The Hauntpuzzled House","Test New Mods",skipped,"Skipped: not a server mod","Not included",,2026-06-03,https://www.curseforge.com/minecraft/worlds/hauntpuzzled-house/files/all?page=1&pageSize=20,"The URL points to a CurseForge world/map project, not a mod jar. Per instructions, skipped non-mod tracker rows."
"The Lost Cities","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/the-lost-cities/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"The Twilight Forest","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/the-twilight-forest/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"The Undergarden","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/the-undergarden/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Tidal Towns","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/tidal-towns/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Tinted Torches","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/tinted-torches/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Tiny Dragons","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/tiny-dragons/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Towers of the Wild Modded","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/towers-of-the-wild-modded/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Trek,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/data-packs/trek/files/all?page=1&pageSize=20,"CurseForge API returned no stable datapack files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Turret,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ultimate-plane-mod/files/all?page=1&pageSize=20,"Tracker name is Turret but URL points to Ultimate Plane Mod. CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Twilight Treehouses","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/twilight-treehouses/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Ultimate Plane Mod","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ultimate-plane-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Undopia 3D Ladder","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/texture-packs/undopia-3d-ladder/files/all?page=1&pageSize=20,"CurseForge API returned no stable 26.1.x files for Undopia 3D Ladder. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Unnamed Desert","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://modrinth.com/datapack/unnamed-desert/versions?l=neoforge,"Modrinth API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Unnamed Sea","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://modrinth.com/mod/unnamed-sea/versions?l=neoforge,"Modrinth API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Unusual Fish Mod","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/unusual-fish-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Useful Railroads","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/useful-railroads/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"UUID for new Player Name","Online Resources",skipped,"Skipped: online reference","Not included",,2026-06-03,https://mcuuid.net/?q=Pummelchen7791,"Online UUID/whitelist reference, not a server or client mod. Skipped during migration."
"Valarian Conquest","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/valarian-conquest/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
